Image ID,Color Harmony,Compositional Novelty,Subject Clarity,Perceived Technical Complexity,Overall Aesthetic Preference,Style Label
IMG_0425,3.00,3.00,3.33,3.67,3.33,glitch
IMG_0426,2.33,4.33,3.67,4.33,4.00,noise-field
IMG_0427,3.00,3.00,3.00,2.00,2.67,shader
IMG_0428,3.00,3.33,3.33,4.67,3.67,algorithmic-stroke
IMG_0429,4.00,3.00,4.33,3.00,4.67,voxel
IMG_0430,2.33,2.00,2.67,3.33,2.33,GAN-synthesised
IMG_0431,3.33,2.67,2.67,4.00,3.33,particle
IMG_0432,2.67,3.00,4.33,3.33,3.67,data-mapping
IMG_0433,4.00,2.33,1.00,1.67,2.33,GAN-synthesised
IMG_0434,2.00,3.67,2.67,4.00,2.67,glitch
IMG_0435,3.00,2.00,2.33,3.33,2.67,fractal
IMG_0436,2.00,3.00,3.00,4.33,3.00,glitch
IMG_0437,3.00,3.67,3.67,2.67,2.67,optical-flow
IMG_0438,3.33,1.67,2.00,2.33,2.67,voxel
IMG_0439,3.00,2.00,4.33,2.33,2.33,procedural-texture
IMG_0440,2.67,4.33,5.00,3.67,4.67,noise-field
IMG_0441,4.67,2.33,2.33,2.67,4.33,voxel
IMG_0442,3.67,3.33,4.67,3.33,3.67,procedural-texture
IMG_0443,3.33,2.67,3.33,3.33,4.00,fractal
IMG_0444,2.67,4.33,3.67,1.67,2.67,data-mapping
IMG_0445,5.00,1.00,4.67,1.67,4.33,optical-flow
IMG_0446,4.00,2.33,3.67,3.67,4.00,noise-field
IMG_0447,3.67,3.67,4.00,3.67,4.33,glitch
IMG_0448,3.33,3.67,4.00,2.33,3.67,shader
IMG_0449,5.00,2.00,4.00,2.33,4.00,data-mapping
IMG_0450,3.67,4.67,2.33,3.33,4.00,glitch
IMG_0451,2.33,4.00,4.00,3.33,3.00,noise-field
IMG_0452,4.67,2.33,4.33,3.00,4.67,voxel
IMG_0453,3.33,1.00,1.67,2.67,1.67,procedural-texture
IMG_0454,3.67,2.67,2.33,4.67,3.33,glitch
IMG_0455,2.00,2.67,2.00,4.67,2.00,fractal
IMG_0456,5.00,2.67,3.67,3.33,4.67,voxel
IMG_0457,5.00,3.00,3.67,3.33,5.00,fractal
IMG_0458,3.67,4.33,3.00,4.33,3.67,glitch
IMG_0459,3.33,4.00,2.33,4.67,3.00,glitch
IMG_0460,4.00,2.67,3.33,3.67,4.33,glitch
IMG_0461,4.67,1.33,2.67,1.67,3.67,GAN-synthesised
IMG_0462,4.00,2.33,3.67,2.33,3.33,procedural-texture
IMG_0463,4.33,3.67,4.33,4.00,5.00,fractal
IMG_0464,3.00,3.67,4.00,2.67,3.67,pixel-collage
IMG_0465,4.00,3.00,3.00,2.33,3.00,pixel-collage
IMG_0466,2.67,3.00,2.67,4.67,3.00,glitch
IMG_0467,2.67,3.00,2.33,3.67,1.67,procedural-texture
IMG_0468,4.67,3.00,4.00,2.00,4.00,voxel
IMG_0469,2.00,2.67,3.33,4.33,2.67,glitch
IMG_0470,4.00,2.67,4.00,4.33,3.67,algorithmic-stroke
IMG_0471,2.67,2.33,4.33,3.00,3.00,voxel
IMG_0472,3.00,4.00,3.00,5.00,3.00,noise-field
IMG_0473,3.67,2.33,3.00,1.67,2.67,data-mapping
IMG_0474,4.33,2.33,3.00,3.33,3.67,glitch
IMG_0475,5.00,2.67,3.33,2.67,4.33,pixel-collage
IMG_0476,3.33,2.67,2.33,3.67,3.33,fractal
IMG_0477,3.33,2.67,4.33,2.33,3.33,procedural-texture
IMG_0478,4.33,4.00,4.33,4.67,4.33,algorithmic-stroke
IMG_0479,2.67,3.33,4.67,3.00,3.67,procedural-texture
IMG_0480,3.67,3.33,4.67,2.00,4.67,voxel
IMG_0481,4.33,2.33,4.00,2.67,4.33,voxel
IMG_0482,2.67,3.00,2.00,3.00,1.33,fractal
IMG_0483,4.33,3.33,3.67,4.00,5.00,noise-field
IMG_0484,4.33,2.33,4.00,4.33,4.33,voxel
IMG_0485,4.67,3.00,4.33,3.00,4.33,fractal
IMG_0486,4.33,1.67,1.33,2.67,2.67,fractal
IMG_0487,4.00,1.00,2.67,4.33,2.00,GAN-synthesised
IMG_0488,3.00,4.67,3.67,4.00,3.67,voxel
IMG_0489,3.00,2.67,3.67,3.67,3.33,voxel
IMG_0490,2.67,3.00,2.67,3.33,1.67,shader
IMG_0491,3.33,3.00,3.67,4.67,5.00,glitch
IMG_0492,3.67,1.33,3.33,1.67,3.33,GAN-synthesised
IMG_0493,2.67,2.67,2.33,3.00,1.67,shader
IMG_0494,2.00,4.33,3.00,4.00,2.67,shader
IMG_0495,2.33,2.33,3.67,3.00,3.33,optical-flow
IMG_0496,2.00,4.33,2.67,5.00,2.33,algorithmic-stroke
IMG_0497,4.67,2.67,3.00,4.33,4.67,algorithmic-stroke
IMG_0498,3.33,3.00,3.67,3.67,3.67,optical-flow
IMG_0499,3.33,2.33,1.00,3.67,2.00,fractal
IMG_0500,3.33,3.00,4.67,2.00,3.67,pixel-collage
IMG_0501,2.67,2.33,2.67,4.33,3.00,glitch
IMG_0502,3.33,3.67,2.33,2.67,2.67,shader
IMG_0503,5.00,1.67,2.33,1.67,3.00,voxel
IMG_0504,2.67,2.00,2.00,2.00,1.33,data-mapping
IMG_0505,3.33,4.00,5.00,3.67,4.67,noise-field
IMG_0506,3.00,2.33,3.33,3.00,3.67,optical-flow
IMG_0507,2.33,4.67,2.33,4.33,3.00,noise-field
IMG_0508,3.67,3.33,4.33,3.00,4.00,pixel-collage
IMG_0509,1.67,3.33,2.67,4.33,3.00,glitch
IMG_0510,3.67,3.33,2.33,4.67,3.67,fractal
IMG_0511,4.00,3.00,3.00,3.33,4.00,voxel
IMG_0512,3.33,3.33,3.33,4.00,4.33,fractal
IMG_0513,4.67,2.67,3.33,4.00,4.33,fractal
IMG_0514,2.00,2.67,2.67,4.00,1.33,algorithmic-stroke
IMG_0515,3.67,2.67,2.00,4.33,3.67,noise-field
IMG_0516,5.00,2.33,3.33,3.67,4.67,algorithmic-stroke
IMG_0517,3.33,2.67,2.67,4.00,3.00,algorithmic-stroke
IMG_0518,2.67,1.67,3.00,4.00,3.33,fractal
IMG_0519,2.67,2.33,2.67,5.00,2.33,algorithmic-stroke
IMG_0520,4.67,2.00,2.67,1.33,3.67,data-mapping
IMG_0521,2.00,3.67,4.00,4.33,2.67,glitch
IMG_0522,2.00,2.33,3.00,3.67,2.00,optical-flow
IMG_0523,5.00,3.33,4.67,2.00,5.00,voxel
IMG_0524,3.33,1.67,1.67,4.00,2.67,fractal
IMG_0525,5.00,4.00,2.00,4.33,4.00,glitch
IMG_0526,3.00,3.00,3.67,2.33,3.33,voxel
IMG_0527,4.67,3.33,3.33,4.00,4.33,glitch
IMG_0528,4.00,2.00,3.00,2.67,3.00,pixel-collage
IMG_0529,3.33,2.67,2.00,4.67,2.67,fractal
IMG_0530,4.67,3.33,2.67,3.67,4.00,algorithmic-stroke
IMG_0531,4.33,3.67,3.00,4.33,4.33,glitch
IMG_0532,3.33,2.67,2.33,3.67,2.67,fractal
IMG_0533,1.67,3.33,2.33,4.00,1.67,glitch
IMG_0534,4.33,2.67,4.33,4.00,4.33,algorithmic-stroke
IMG_0535,5.00,3.00,3.67,3.33,5.00,voxel
IMG_0536,4.33,2.00,3.67,2.67,4.00,voxel
IMG_0537,3.67,4.67,4.33,2.67,3.00,procedural-texture
IMG_0538,4.33,2.67,2.33,2.67,3.33,shader
IMG_0539,5.00,1.33,2.00,1.33,3.33,data-mapping
IMG_0540,3.67,2.33,3.67,3.00,3.67,glitch
IMG_0541,3.00,4.33,4.33,4.00,4.33,glitch
IMG_0542,2.67,3.00,3.33,2.33,2.33,shader
IMG_0543,4.67,2.33,3.33,2.00,4.00,pixel-collage
IMG_0544,3.00,1.33,2.33,4.33,2.67,fractal
IMG_0545,2.00,1.67,2.67,3.33,2.00,fractal
IMG_0546,3.00,3.67,3.33,3.00,2.33,pixel-collage
IMG_0547,3.00,2.33,4.33,3.67,3.67,voxel
IMG_0548,3.67,2.33,2.67,2.00,2.67,procedural-texture
IMG_0549,2.00,3.67,3.67,4.00,2.33,voxel
IMG_0550,3.00,4.33,3.00,2.67,3.00,shader
IMG_0551,3.00,2.67,4.00,4.00,3.33,glitch
IMG_0552,3.33,3.00,1.00,4.00,3.00,GAN-synthesised
IMG_0553,2.00,2.67,4.33,3.00,2.33,optical-flow
IMG_0554,2.00,4.00,3.00,5.00,3.00,noise-field
IMG_0555,4.33,2.67,3.67,3.00,3.67,data-mapping
IMG_0556,2.33,3.33,3.33,4.67,2.67,algorithmic-stroke
IMG_0557,5.00,1.33,3.67,3.67,4.00,voxel
IMG_0558,3.00,2.67,3.00,3.33,2.67,noise-field
IMG_0559,3.67,3.33,4.33,3.67,4.67,glitch
IMG_0560,2.33,3.67,2.00,5.00,3.00,noise-field
IMG_0561,2.33,2.33,2.67,2.33,2.00,optical-flow
IMG_0562,3.00,3.67,3.00,4.33,3.00,algorithmic-stroke
IMG_0563,2.67,3.00,2.67,5.00,2.33,glitch
IMG_0564,2.33,3.00,2.67,3.00,2.67,glitch
IMG_0565,2.33,1.67,2.33,3.67,2.00,algorithmic-stroke
IMG_0566,4.67,2.67,2.00,4.00,3.67,glitch
IMG_0567,5.00,2.67,3.33,4.67,5.00,algorithmic-stroke
IMG_0568,2.33,4.67,4.67,3.67,4.00,glitch
IMG_0569,3.00,4.00,3.67,4.67,3.67,glitch
IMG_0570,4.33,2.67,3.00,4.33,4.67,fractal
IMG_0571,3.33,2.00,2.33,2.00,2.67,pixel-collage
IMG_0572,4.67,1.00,3.00,2.33,3.33,voxel
IMG_0573,1.67,2.33,2.67,3.33,2.33,fractal
IMG_0574,2.00,3.00,2.33,4.00,2.00,glitch
IMG_0575,5.00,1.67,3.00,1.67,3.67,voxel
IMG_0576,4.00,3.00,3.33,3.00,3.00,shader
IMG_0577,2.67,3.67,4.00,3.33,3.33,shader
IMG_0578,4.33,4.00,3.00,4.00,4.33,noise-field
IMG_0579,4.33,3.67,3.33,3.67,4.33,glitch
IMG_0580,3.67,3.00,4.33,4.00,4.67,noise-field
IMG_0581,5.00,2.33,3.00,4.33,4.33,glitch
IMG_0582,2.33,3.33,5.00,2.67,3.67,voxel
IMG_0583,2.67,4.33,2.33,4.67,2.67,glitch
IMG_0584,2.67,2.33,3.67,3.67,3.00,optical-flow
IMG_0585,2.33,3.33,2.00,5.00,2.67,algorithmic-stroke
IMG_0586,3.00,2.67,1.67,4.00,2.67,fractal
IMG_0587,3.67,1.33,3.33,2.00,2.33,GAN-synthesised
IMG_0588,4.00,2.33,4.67,1.33,3.67,voxel
IMG_0589,5.00,1.67,4.00,1.67,4.33,voxel
IMG_0590,4.00,3.33,3.00,3.00,3.00,procedural-texture
IMG_0591,4.67,4.33,2.33,4.33,4.33,glitch
IMG_0592,4.67,3.67,4.33,3.67,5.00,fractal
IMG_0593,4.00,2.67,3.00,5.00,3.33,algorithmic-stroke
IMG_0594,2.33,2.67,2.33,2.67,1.67,shader
IMG_0595,2.67,2.67,2.33,4.00,2.33,fractal
IMG_0596,2.67,3.00,1.67,4.00,2.33,GAN-synthesised
IMG_0597,3.33,3.33,3.67,4.33,4.00,noise-field
IMG_0598,3.00,2.67,5.00,2.00,3.33,data-mapping
IMG_0599,3.33,3.00,3.00,2.67,3.00,GAN-synthesised
IMG_0600,2.67,3.33,2.67,3.00,2.33,shader
IMG_0601,2.00,4.67,3.67,4.67,3.67,algorithmic-stroke
IMG_0602,3.67,3.00,2.33,4.67,3.67,glitch
IMG_0603,2.67,3.67,2.00,4.67,3.33,fractal
IMG_0604,3.33,3.00,2.67,3.67,3.67,glitch
IMG_0605,4.67,1.00,2.67,2.00,3.00,voxel
IMG_0606,2.00,4.67,3.33,5.00,4.00,noise-field
IMG_0607,2.67,4.00,3.00,5.00,3.00,noise-field
IMG_0608,4.33,4.00,3.33,4.00,4.67,glitch
IMG_0609,3.33,5.00,4.33,4.00,4.00,noise-field
IMG_0610,4.67,1.00,4.00,2.67,4.33,voxel
IMG_0611,3.00,2.33,2.67,3.67,2.67,optical-flow
IMG_0612,3.67,2.67,4.33,3.00,4.33,fractal
IMG_0613,4.33,2.00,3.00,2.67,3.67,fractal
IMG_0614,5.00,1.67,2.00,3.00,3.67,optical-flow
IMG_0615,2.33,5.00,4.67,4.00,3.67,glitch
IMG_0616,4.00,2.33,1.00,2.67,3.33,GAN-synthesised
IMG_0617,2.00,3.00,2.67,4.00,1.67,algorithmic-stroke
IMG_0618,4.00,2.67,4.67,3.00,4.00,voxel
IMG_0619,4.00,2.00,3.33,1.67,3.00,GAN-synthesised
IMG_0620,2.67,4.67,3.00,3.33,3.67,shader
IMG_0621,3.67,2.00,4.00,3.33,4.00,pixel-collage
IMG_0622,2.00,2.33,4.00,2.33,2.67,optical-flow
IMG_0623,5.00,1.67,3.33,3.00,5.00,voxel
IMG_0624,3.33,2.00,3.00,2.00,3.33,GAN-synthesised
IMG_0625,2.67,2.67,3.33,3.67,3.33,voxel
IMG_0626,3.00,2.00,1.33,3.00,1.67,voxel
IMG_0627,3.67,3.00,4.33,3.67,3.67,pixel-collage
IMG_0628,3.00,4.67,3.33,3.67,3.33,algorithmic-stroke
IMG_0629,4.33,2.67,4.00,2.00,4.33,voxel
IMG_0630,3.33,1.67,3.67,2.33,2.00,voxel
IMG_0631,2.33,1.67,2.67,3.33,1.67,optical-flow
IMG_0632,3.67,2.00,3.67,2.67,3.00,voxel
IMG_0633,3.00,3.00,1.67,2.67,2.00,GAN-synthesised
IMG_0634,4.00,2.00,3.33,2.33,3.33,pixel-collage
IMG_0635,2.33,3.67,4.00,4.00,3.33,noise-field
IMG_0636,4.00,1.33,3.33,2.00,3.00,procedural-texture
IMG_0637,4.33,3.67,4.67,3.67,5.00,glitch
IMG_0638,4.33,2.00,3.67,1.67,3.33,procedural-texture
IMG_0639,3.00,2.00,2.67,3.67,2.33,procedural-texture
IMG_0640,3.67,3.33,3.67,3.33,3.67,optical-flow
IMG_0641,3.33,2.67,3.67,2.67,3.00,data-mapping
IMG_0642,2.00,4.33,3.33,5.00,3.67,algorithmic-stroke
IMG_0643,3.33,3.00,2.33,3.67,3.00,GAN-synthesised
IMG_0644,2.67,2.67,3.33,2.33,2.67,data-mapping
IMG_0645,4.00,2.33,2.00,2.00,2.67,GAN-synthesised
IMG_0646,4.00,3.00,3.67,4.00,4.33,fractal
IMG_0647,4.67,2.00,3.33,3.00,4.00,pixel-collage
IMG_0648,3.33,2.67,2.67,3.33,2.67,GAN-synthesised
IMG_0649,2.67,4.00,4.67,2.67,3.67,data-mapping
IMG_0650,4.00,3.33,5.00,2.00,4.33,procedural-texture
IMG_0651,5.00,1.33,2.33,3.00,3.00,optical-flow
IMG_0652,5.00,3.00,3.67,3.33,5.00,noise-field
IMG_0653,3.00,2.33,1.33,4.00,2.33,GAN-synthesised
IMG_0654,3.00,1.67,2.67,3.33,2.33,algorithmic-stroke
IMG_0655,3.00,2.67,2.00,3.00,2.33,GAN-synthesised
IMG_0656,3.67,3.67,3.00,4.33,3.67,algorithmic-stroke
IMG_0657,4.33,1.00,1.67,1.67,2.33,optical-flow
IMG_0658,3.00,2.67,3.00,2.33,2.33,procedural-texture
IMG_0659,4.33,3.67,4.00,4.00,4.67,pixel-collage
IMG_0660,2.67,4.00,4.67,2.67,3.00,voxel
IMG_0661,2.33,4.33,3.67,3.67,3.33,glitch
IMG_0662,3.00,1.33,2.33,2.00,2.00,shader
IMG_0663,2.00,3.33,3.33,4.00,3.00,GAN-synthesised
IMG_0664,2.00,3.67,3.33,3.67,3.00,noise-field
IMG_0665,3.33,1.33,2.33,3.67,2.67,fractal
IMG_0666,4.00,1.33,2.33,1.33,3.00,procedural-texture
IMG_0667,4.67,1.67,3.00,2.33,3.67,optical-flow
IMG_0668,3.67,3.33,4.00,4.33,4.00,voxel
IMG_0669,4.67,1.00,3.33,2.67,3.67,voxel
IMG_0670,3.00,5.00,3.00,4.67,3.67,noise-field
IMG_0671,3.33,4.00,3.33,5.00,3.67,glitch
IMG_0672,2.67,3.33,2.00,4.33,3.33,glitch
IMG_0673,4.67,1.33,2.33,3.33,3.33,fractal
IMG_0674,3.33,3.00,3.00,2.67,3.33,GAN-synthesised
IMG_0675,4.00,3.33,2.33,3.67,2.67,algorithmic-stroke
IMG_0676,4.67,2.67,2.67,3.33,4.67,glitch
IMG_0677,2.67,3.67,2.67,2.67,2.00,shader
IMG_0678,1.67,5.00,3.33,4.00,3.00,noise-field
IMG_0679,4.00,3.00,4.33,2.00,4.00,shader
IMG_0680,2.33,3.67,3.33,4.00,2.67,pixel-collage
IMG_0681,4.67,2.67,4.33,2.00,5.00,voxel
IMG_0682,3.33,1.00,1.33,2.67,2.33,GAN-synthesised
IMG_0683,2.00,2.67,3.67,1.33,1.67,data-mapping
IMG_0684,3.00,3.67,2.00,4.67,2.67,fractal
IMG_0685,3.00,3.33,3.33,3.67,3.00,pixel-collage
IMG_0686,2.00,1.33,3.00,2.67,1.67,procedural-texture
IMG_0687,4.00,2.33,3.67,3.00,3.67,pixel-collage
IMG_0688,4.00,2.00,4.33,2.00,3.00,voxel
IMG_0689,5.00,2.00,3.67,2.00,4.33,voxel
IMG_0690,2.67,2.67,3.67,3.33,3.00,glitch
IMG_0691,4.67,3.00,3.00,1.67,4.33,GAN-synthesised
IMG_0692,4.33,1.00,3.67,2.00,3.67,data-mapping
IMG_0693,2.33,3.33,4.00,4.67,3.00,algorithmic-stroke
IMG_0694,3.67,1.33,2.33,4.67,3.33,algorithmic-stroke
IMG_0695,3.67,4.00,4.67,4.00,5.00,noise-field
IMG_0696,3.67,1.33,2.33,2.00,2.67,pixel-collage
IMG_0697,2.00,3.67,4.00,4.00,3.00,glitch
IMG_0698,2.67,3.00,4.00,3.00,3.33,optical-flow
IMG_0699,3.33,4.33,3.33,4.33,4.33,noise-field
IMG_0700,3.67,3.00,4.00,4.00,4.67,glitch
IMG_0701,3.67,1.00,1.67,3.67,3.33,glitch
IMG_0702,4.33,2.33,4.67,3.67,4.00,voxel
IMG_0703,3.33,3.00,3.00,3.00,3.00,optical-flow
IMG_0704,2.33,2.33,1.67,4.67,2.00,fractal
IMG_0705,2.00,3.00,3.67,3.00,1.67,shader
IMG_0706,2.67,2.67,4.67,3.00,2.67,voxel
IMG_0707,4.00,4.33,4.67,2.67,4.33,procedural-texture
IMG_0708,3.67,5.00,5.00,3.33,4.67,voxel
IMG_0709,4.67,2.00,2.67,3.00,4.00,glitch
IMG_0710,3.67,4.00,4.00,3.00,3.67,shader
IMG_0711,4.00,2.00,3.33,2.33,2.67,shader
IMG_0712,3.67,1.00,3.00,2.00,2.33,data-mapping
IMG_0713,2.33,4.00,2.33,4.33,3.67,fractal
IMG_0714,2.33,2.67,2.33,3.00,2.33,shader
IMG_0715,3.33,3.00,2.67,3.00,2.00,shader
IMG_0716,2.67,4.00,5.00,3.33,3.33,voxel
IMG_0717,3.33,4.00,4.00,3.67,5.00,fractal
IMG_0718,4.67,2.00,3.00,2.33,4.00,fractal
IMG_0719,2.33,3.67,4.00,4.33,3.00,glitch
IMG_0720,4.67,2.33,3.33,2.67,4.00,voxel
IMG_0721,2.00,2.00,3.00,4.67,3.00,glitch
IMG_0722,4.67,2.67,3.33,2.00,4.00,voxel
IMG_0723,2.67,2.67,2.67,5.00,3.33,glitch
IMG_0724,3.67,3.67,3.33,4.33,4.67,glitch
IMG_0725,2.00,3.00,2.33,4.00,2.00,fractal
IMG_0726,4.33,2.33,3.00,3.00,3.33,voxel
IMG_0727,2.67,4.33,4.00,3.67,3.00,optical-flow
IMG_0728,3.00,2.67,3.00,4.67,4.00,algorithmic-stroke
IMG_0729,2.67,3.33,2.67,4.00,2.33,optical-flow
IMG_0730,2.67,1.67,2.33,2.67,1.33,GAN-synthesised
IMG_0731,3.33,2.00,3.67,3.67,4.00,fractal
IMG_0732,2.67,2.33,2.67,4.00,3.33,glitch
IMG_0733,2.33,2.67,3.00,4.67,2.00,algorithmic-stroke
IMG_0734,3.00,1.67,1.33,2.33,1.67,GAN-synthesised
IMG_0735,3.67,2.00,2.33,2.33,2.00,data-mapping
IMG_0736,2.33,3.00,3.00,3.67,2.67,fractal
IMG_0737,2.67,2.67,3.67,3.67,3.00,algorithmic-stroke
IMG_0738,2.67,3.67,3.67,5.00,3.00,glitch
IMG_0739,4.67,2.00,2.00,1.67,3.33,data-mapping
IMG_0740,4.33,3.00,3.67,3.33,4.67,pixel-collage
IMG_0741,2.67,2.33,4.00,2.67,3.00,procedural-texture
IMG_0742,3.67,2.00,2.67,2.67,2.67,procedural-texture
IMG_0743,2.33,2.00,3.33,2.00,2.33,GAN-synthesised
IMG_0744,3.67,3.67,3.33,4.00,2.67,glitch
IMG_0745,2.33,3.67,4.00,3.67,3.00,optical-flow
IMG_0746,2.67,5.00,2.67,4.33,3.33,glitch
IMG_0747,3.33,3.67,2.33,4.00,3.33,glitch
IMG_0748,3.00,4.00,2.67,3.00,3.00,data-mapping
IMG_0749,3.00,2.00,2.67,3.67,2.67,fractal
IMG_0750,3.00,3.33,3.33,4.33,4.00,particle
IMG_0751,4.67,2.67,3.67,2.33,4.33,pixel-collage
IMG_0752,5.00,2.33,4.00,3.00,4.67,fractal
IMG_0753,4.00,2.33,4.00,3.00,4.00,voxel
IMG_0754,3.00,3.00,1.33,5.00,3.33,algorithmic-stroke
IMG_0755,2.33,2.67,4.67,2.33,2.33,GAN-synthesised
IMG_0756,4.67,1.67,3.00,2.33,4.00,procedural-texture
IMG_0757,3.00,3.33,3.33,2.33,2.33,shader
IMG_0758,4.67,1.33,3.67,2.00,4.33,voxel
IMG_0759,4.67,1.33,3.67,2.33,4.33,voxel
IMG_0760,3.00,1.67,3.00,2.67,3.00,procedural-texture
IMG_0761,3.67,3.00,3.00,3.33,3.00,glitch
IMG_0762,2.33,3.00,3.67,3.67,3.33,glitch
IMG_0763,2.67,3.00,1.67,4.33,2.33,fractal
IMG_0764,1.67,2.33,2.67,5.00,2.67,glitch
IMG_0765,3.33,3.00,1.67,5.00,3.67,glitch
IMG_0766,3.67,3.00,3.00,3.33,3.33,fractal
IMG_0767,4.33,2.33,3.33,3.67,4.00,GAN-synthesised
IMG_0768,3.33,4.67,5.00,3.00,4.00,voxel
IMG_0769,4.00,4.00,1.33,4.33,3.33,particle
IMG_0770,2.67,3.00,3.67,3.33,3.67,voxel
IMG_0771,2.33,3.67,4.33,4.33,3.00,algorithmic-stroke
IMG_0772,2.67,4.00,2.67,4.00,3.00,fractal
IMG_0773,3.33,3.33,2.67,4.33,3.33,algorithmic-stroke
IMG_0774,3.00,2.67,3.00,3.00,2.00,shader
IMG_0775,3.00,3.00,3.67,3.33,2.33,glitch
IMG_0776,4.00,1.67,3.67,3.67,3.33,voxel
IMG_0777,3.00,3.33,1.00,3.33,1.67,GAN-synthesised
IMG_0778,3.33,3.67,3.00,4.00,4.33,glitch
IMG_0779,4.33,3.67,3.33,3.00,4.33,pixel-collage
IMG_0780,5.00,3.00,3.33,4.00,4.67,pixel-collage
IMG_0781,2.67,4.00,2.00,3.67,2.33,fractal
IMG_0782,2.33,2.33,1.67,4.33,2.00,algorithmic-stroke
IMG_0783,2.00,3.33,2.00,5.00,3.00,noise-field
IMG_0784,5.00,3.00,3.67,3.67,4.33,fractal
IMG_0785,2.00,4.67,3.67,5.00,4.00,glitch
IMG_0786,2.00,2.00,2.33,2.67,1.00,procedural-texture
IMG_0787,1.67,3.67,3.00,5.00,2.00,noise-field
IMG_0788,4.33,2.67,4.33,2.67,4.00,voxel
IMG_0789,4.33,2.33,3.00,3.00,4.00,voxel
IMG_0790,3.67,3.33,2.67,4.00,4.67,fractal
IMG_0791,4.00,2.67,2.67,1.67,3.00,GAN-synthesised
IMG_0792,2.00,3.67,3.00,4.33,2.00,algorithmic-stroke
IMG_0793,3.67,2.00,4.00,1.67,3.67,data-mapping
IMG_0794,1.67,3.00,2.00,4.00,2.00,algorithmic-stroke
IMG_0795,4.33,2.67,4.67,3.00,4.00,voxel
IMG_0796,4.33,1.67,3.00,2.67,4.00,fractal
IMG_0797,1.67,4.33,5.00,2.33,3.00,procedural-texture
IMG_0798,2.33,4.33,4.33,2.00,3.33,voxel
IMG_0799,3.33,3.00,3.33,2.67,3.00,GAN-synthesised
IMG_0800,5.00,4.00,2.33,4.33,4.67,particle
IMG_0801,3.33,4.00,3.67,4.67,4.33,glitch
IMG_0802,2.67,3.33,2.67,5.00,3.33,glitch
IMG_0803,3.33,2.67,4.67,3.00,4.00,voxel
IMG_0804,3.33,3.67,2.33,4.33,3.33,glitch
IMG_0805,1.67,3.33,4.67,3.33,2.33,optical-flow
IMG_0806,4.33,3.33,3.67,3.00,4.33,pixel-collage
IMG_0807,4.67,3.33,4.33,3.00,5.00,fractal
IMG_0808,2.00,4.00,2.33,4.67,2.00,glitch
IMG_0809,4.67,1.00,3.00,1.67,3.00,data-mapping
IMG_0810,3.00,4.00,3.67,4.67,3.67,glitch
IMG_0811,3.00,4.00,4.00,4.67,3.67,noise-field
IMG_0812,2.00,3.00,4.33,4.00,3.00,noise-field
IMG_0813,3.00,2.67,4.00,3.00,3.00,optical-flow
IMG_0814,3.67,3.00,2.00,2.00,2.67,shader
IMG_0815,2.33,2.33,3.00,4.67,2.67,glitch
IMG_0816,3.33,1.67,1.67,4.67,2.67,glitch
IMG_0817,3.33,4.33,3.67,3.67,3.67,glitch
IMG_0818,4.67,2.67,4.67,2.00,4.67,optical-flow
IMG_0819,5.00,2.67,3.33,4.00,4.67,algorithmic-stroke
IMG_0820,4.00,2.33,2.33,1.67,2.33,procedural-texture
IMG_0821,5.00,2.00,4.00,2.33,3.67,optical-flow
IMG_0822,2.33,3.00,4.33,4.00,2.67,procedural-texture
IMG_0823,4.00,2.00,4.00,3.00,4.00,voxel
IMG_0824,2.00,3.33,1.67,5.00,2.33,particle
IMG_0825,2.67,3.00,2.67,4.33,3.00,glitch
IMG_0826,3.00,1.33,2.00,2.67,1.67,procedural-texture
IMG_0827,3.33,3.67,4.00,3.00,3.33,GAN-synthesised
IMG_0828,4.00,3.00,1.67,2.33,2.67,pixel-collage
IMG_0829,2.67,3.33,2.33,4.67,3.33,glitch
IMG_0830,3.00,2.33,3.00,3.33,3.33,GAN-synthesised
IMG_0831,3.67,3.33,4.67,1.67,4.00,data-mapping
IMG_0832,2.67,2.67,4.67,3.00,3.33,voxel
IMG_0833,2.67,2.33,4.00,2.33,2.33,voxel
IMG_0834,4.00,2.33,3.00,2.00,3.33,GAN-synthesised
IMG_0835,2.67,3.00,5.00,2.67,3.33,optical-flow
IMG_0836,2.67,3.00,3.00,3.67,3.00,shader
IMG_0837,2.67,2.33,3.67,3.67,3.67,glitch
IMG_0838,2.33,3.33,3.67,4.33,2.00,glitch
IMG_0839,3.00,3.00,2.67,2.33,2.33,shader
IMG_0840,2.00,2.00,2.33,4.00,2.00,algorithmic-stroke
IMG_0841,1.33,3.33,3.00,3.67,2.67,shader
IMG_0842,2.33,1.33,1.67,4.00,1.67,algorithmic-stroke
IMG_0843,2.67,3.67,5.00,4.33,4.00,fractal
IMG_0844,2.67,3.67,4.33,3.00,3.67,shader
IMG_0845,3.00,3.00,3.00,3.33,2.67,pixel-collage
IMG_0846,2.67,4.00,3.00,3.00,1.67,shader
IMG_0847,2.33,1.67,3.67,3.00,2.67,fractal
IMG_0848,2.00,3.33,3.00,5.00,3.33,glitch
IMG_0849,4.33,3.00,4.00,3.00,4.33,fractal
IMG_0850,2.67,4.00,3.33,2.33,2.33,shader
IMG_0851,2.67,3.00,1.67,4.00,3.00,glitch
IMG_0852,2.00,4.33,2.00,4.67,2.67,noise-field
IMG_0853,3.00,2.67,2.33,5.00,3.00,glitch
